,description,tags,contributors,result,ref_original,ref_replication,abstract,cited_by_count,gs_title
78,Heat-Priming is associated with increased hostile perceptions,,Randy J. McCarthy,Failure,"DeWall, C. N., & Bushman, B. J. (2009). Hot under the collar in a lukewarm environment: Words associated with hot temperature increase aggressive thoughts and hostile perceptions. Journal of Experimental Social Psychology, 45(4), 1045-1047.","McCarthy, R. J. (2014, March 8). The Effect of ""Heat-Priming"" on Hostile Perceptions.","To describe mental states that precede aggression and violence, people frequently use words related to hot temperatures. Two experiments examined whether exposure to words related to hot temperatures increases aggressive thoughts, even in the absence of heat. In both experiments, participants were first exposed to words related to either heat, cold, or neutral concepts. Next, participants completed measures that assessed aggressive cognition. In Experiment 1, participants completed a word stem completion task in which some word stems (e.g., “ki _ _”) could be completed with either aggressive (e.g., “kill”) or nonaggressive (e.g., “kiss”) words. In Experiment 2, participants were presented with an ambiguous description of a person and then provided ratings regarding that person’s hostility. In both studies, exposure to hot temperature words, relative to cold temperature and neutral words, increased aggressive thoughts and hostile perceptions. These findings show a strong link in memory between words related to hot temperatures and aggressive thoughts and biases.Elsevier",92,[HTML][HTML] Hot under the collar in a lukewarm environment: Words associated with hot temperature increase aggressive thoughts and hostile perceptions
79,Decision making and learning while taking sequential risks.,"Adolescent, Adult, Association Learning, Bayes Theorem, Choice Behavior, Culture, Decision Making, Decision Theory, Female, Gambling [psychology], Health Behavior, Humans, Individuality, Male, Pattern Recognition, Visual, Psychomotor Performance, Risk-Taking, Stochastic Processes, Substance-Related Disorders [psychology]",Forsell,Failure,"Decision making and learning while taking sequential risks. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 167-185.","Forsell, E., Heikensten, E. K., Dreber, A., & Johannesson, M. (2023, September 28). Replication of TJ Pleskac (2008, JEPLMC 34(1)). Retrieved from osf.io/38ges","A sequential risk-taking paradigm used to identify real-world risk takers invokes both learning and decision processes. This article expands the paradigm to a larger class of tasks with different stochastic environments and different learning requirements. Generalizing a Bayesian sequential risk-taking model to the larger set of tasks clarifies the roles of learning and decision making during sequential risky choice. Results show that respondents adapt their learning processes and associated mental representations of the task to the stochastic environment. Furthermore, their Bayesian learning processes are shown to interfere with the paradigm's identification of risky drug use, whereas the decision-making process facilitates its diagnosticity. Theoretical implications of the results in terms of both understanding risk-taking behavior and improving risk-taking assessment methods are discussed.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",164,Decision making and learning while taking sequential risks.
80,Neural correlates of mirror invariance in the visual word form area,,LR,OS not significant,"Dehaene, S., Nakamura, K., Jobert, A., Kuroki, C., Ogawa, S., & Cohen, L. (2010). Why do children make mirror errors in reading? Neural correlates of mirror invariance in the visual word form area. Neuroimage, 49(2), 1837-1848.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","Young children often make mirror errors when learning to read and write, for instance writing their first name from right to left in English. This competence vanishes in most adult readers, who typically cannot read mirror words but retain a strong competence for mirror recognition of images. We used fast behavioral and fMRI repetition priming to probe the brain mechanisms underlying mirror generalization and its absence for words in adult readers. In two groups of French and Japanese readers, we show that the left fusiform visual word form area, a major site of learning during reading acquisition, simultaneously shows a maximal effect of mirror priming for pictures and an absence of mirror priming for words. Thus, learning to read recruits an area which possesses a property of mirror invariance, seemingly present in all primates, which is deleterious for letter recognition and may explain children's transient mirror errors.Elsevier",228,[HTML][HTML] Why do children make mirror errors in reading? Neural correlates of mirror invariance in the visual word form area
81,Auditory change detection: simple sounds are not memorized better than complex sounds,"Attention, Humans, Judgment, Mental Recall, Music, Pitch Perception, Psychoacoustics, Reaction Time, Sound Spectrography",Snyder,OS not significant,"Demany, L., Trost, W., Serman, M., & Semal, C. (2008). Auditory change detection: simple sounds are not memorized better than complex sounds. Psychological Science, 19(1), 85-91.","Snyder, J. S., & Irsik, V. C. (2023, September 28). Replication of L Demany, W Trost, M Serman, C Semal (2008, PS 19(1), Exp. 5). Retrieved from osf.io/ta3j8","Previous research has shown that the detectability of a local change in a visual image is essentially independent of the complexity of the image when the interstimulus interval (ISI) is very short, but is limited by a low-capacity memory system when the ISI exceeds 100 ms. In the study reported here, listeners made same/different judgments on pairs of successive “chords” (sums of pure tones with random frequencies). The change to be detected was always a frequency shift in one of the tones, and which tone would change was unpredictable. Performance worsened as the number of tones increased, but this effect was not larger for 2-s ISIs than for 0-ms ISIs. Similar results were obtained when a chord was followed by a single tone that had to be judged as higher or lower than the closest component of the chord. Overall, our data suggest that change detection is based on different mechanisms in audition and vision.Sage Journals",66.0,Auditory change detection: Simple sounds are not memorized better than complex sounds
82,infuence of group size on cultural complexity,"Social Science Replication Project, Science, Nature, Human Behavior",Lukas Röseler,Success,"Derex, M., Beugin, M. P., Godelle, B., & Raymond, M. (2013). Experimental evidence for the influence of group size on cultural complexity. Nature, 503(7476), 389-391.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644.","The remarkable ecological and demographic success of humanity is largely attributed to our capacity for cumulative culture,,. The accumulation of beneficial cultural innovations across generations is puzzling because transmission events are generally imperfect, although there is large variance in fidelity. Events of perfect cultural transmission and innovations should be more frequent in a large population. As a consequence, a large population size may be a prerequisite for the evolution of cultural complexity,, although anthropological studies have produced mixed results,,, and empirical evidence is lacking. Here we use a dual-task computer game to show that cultural evolution strongly depends on population size, as players in larger groups maintained higher cultural complexity. We found that when group size increases, cultural knowledge is less deteriorated, improvements to existing cultural traits are more frequent, and cultural trait diversity is maintained more often. Our results demonstrate how changes in group size can generate both adaptive cultural evolution and maladaptive losses of culturally acquired skills. As humans live in habitats for which they are ill-suited without specific cultural adaptations,, it suggests that, in our evolutionary past, group-size reduction may have exposed human societies to significant risks, including societal collapse.nature.com",408,Experimental evidence for the influence of group size on cultural complexity
83,More than meets the eye: the role of language in binding and maintaining feature conjunctions.,"Child, Preschool, Cognition, Cues, Female, Humans, Language, Male",Fitneva,Failure,"Dessalegn, B. & Landau, B. (2008). More than meets the eye: The role of language in binding visual properties. Psychological Science, 19(2), 189-195.","Fitneva, S. A. (2023, September 28). Replication of Dessalegn & Landau (2008, PS, Study 4). Retrieved from osf.io/iajp5","We investigated the effects of language on vision by focusing on a well-known problem: the binding and maintenance of color-location conjunctions. Four-year-olds performed a task in which they saw a target (e.g., a split square, red on the left and green on the right) followed by a brief delay and then were asked to find the target in an array including the target, its reflection (e.g., red on the right and green on the left), and a square with a different geometric split. Errors were overwhelmingly reflections. This finding shows that the children failed to maintain color-location conjunctions. Performance improved when targets were accompanied by sentences specifying color and direction (e.g., “the red is on the left”), but not when the conjunction was highlighted using a nonlinguistic cue (e.g., flashing, pointing, changes in size), nor when sentences specified a nondirectional relationship (e.g., “the red is touching the green”). The relation between children's matching performance and their long-term knowledge of directional terms suggests two distinct mechanisms by which language can temporarily bridge delays, providing more stable representations.Sage Journals",156.0,More than meets the eye: The role of language in binding and maintaining feature conjunctions
84,Cognitive vs. emotive factives,,LR,Success,"Djärv, K., Zehr, J., & Schwarz, F. (2018). Cognitive vs. emotive factives: An experimental differentiation. In Proceedings of Sinn und Bedeutung (Vol. 21, No. 1, pp. 367-386).","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","A central question in current presupposition theory is what (sub-) classes of triggers there are and how they differ from one another (Abusch 2002; Sudo 2012; Tonhauser et al. 2013; Romoli 2012; Abrusan 2016). Factives have traditionally been thought to presuppose the truth of their complements, but the potential need for further differentiation was present from the start, beginning with the distinction between semi-factives (eg discover) and ‘full’factives (eg regret) by Karttunen (1971). However, the precise nature of the differences involved has remained elusive in theoretical terms, and key empirical properties have been difficult to pin down experimentally (eg Jayez et al. 2015). We present new experimental evidence confirming specific differences between emotive factives (be happy, appreciate) and cognitive factives (be aware, realize) using a yes/no-continuation acceptability rating task (Cummins et al., 2013). We spell out an analysis of the demonstrated contrast in terms of a distinction between triggers based on whether or not their presupposed content is encoded as part of the conventionally entailed content (Sudo, 2012; Klinedinst, 2010), and also discuss the broader theoretical implications of our experimental results.ojs.ub.uni-konstanz.de",33.0,Cognitive vs. emotive factives: An experimental differentiation
85,Stereotypes and retrieval-provoked illusory source recollections.,"Association Learning, Attention, Awareness, Humans, Illusions [psychology], Lawyers [psychology], Mental Recall, Physicians [psychology], Reading, Set (Psychology), Social Perception, Stereotyping",Calhoun Sauls,Failure,"Dodson, C.S., Darragh, J., & Williams, A. (2008). Stereotypes and retrieval-provoked illusory source recollections. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 460-477.","Calhoun-Sauls, A. (2023, September 28). Replication of CS Dodson, J Darragh, A Williams (2008, JEPLMC 34(3), Exp. 3). Retrieved from osf.io/c5pbg","When expectations and stereotypes are activated at retrieval, they spontaneously create distorted and illusory recollections that are consistent with these expectations. Participants studied doctor (physician)-related and lawyer-related statements that were presented by 2 different people. When informed, on a subsequent source memory test,(ie, of who presented what) that one of the study sources was actually a doctor and the other source was a lawyer, there was a strong tendency to attribute the test items in a stereotype-consistent manner. In 3 experiments, participants frequently reported recollecting specific details, such as via"" remember"" judgments, to justify their stereotype-consistent but incorrect responses. These experiments rule out explanations involving either the misattribution of strong familiarity or differences in the bias to making remember responses as accounts for the illusory source attributions. Instead, the illusory recollections are consistent with the notion that recollective experience is manufactured from both the information in the memory trace and information in the retrieval environment, such as an individual's expectations, stereotypes, and general knowledge.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",47.0,Stereotypes and retrieval-provoked illusory source recollections.
86,Reconciling novelty and complexity through a rational analysis of curiosity,,LR,Failure,"Dubey, R., & Griffiths, T. L. (2020). Reconciling novelty and complexity through a rational analysis of curiosity. Psychological Review, 127(3), 455.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","Curiosity is considered to be the essence of science and an integral component of cognition. What prompts curiosity in a learner? Previous theoretical accounts of curiosity remain divided—novelty-based theories propose that new and highly uncertain stimuli pique curiosity, whereas complexity-based theories propose that stimuli with an intermediate degree of uncertainty stimulate curiosity. In this article, we present a rational analysis of curiosity by considering the computational problem underlying curiosity, which allows us to model these distinct accounts of curiosity in a common framework. Our approach posits that a rational agent should explore stimuli that maximally increase the usefulness of its knowledge and that curiosity is the mechanism by which humans approximate this rational behavior. Critically, our analysis show that the causal structure of the environment can determine whether curiosity is driven by either highly uncertain or moderately uncertain stimuli. This suggests that previous theories need not be in contention but are special cases of a more general account of curiosity. Experimental results confirm our predictions and demonstrate that our theory explains a wide range of findings about human curiosity, including its subjectivity and malleability.(PsycInfo Database Record (c) 2020 APA, all rights reserved)American Psychological Association",262,Reconciling novelty and complexity through a rational analysis of curiosity.
87,drunk utilitarian,"utilitarianism, alcohol, CNI Model, trolley dilemma, moral judgmenet",Pypno Katarzyna; Paruzel-Czachura Mariola,Success,"Duke, A. A., & Bègue, L. (2015). The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas. Cognition, 134, 121–127.  cognition.2014.09.006 Study 1","Paruzel-Czachura, M., Pypno, K., Everett, J.A., Białek, M.J., & Gawronski, B. (2023). The Drunk Utilitarian Revisited: Does Alcohol Really Increase Utilitarianism in Moral Judgment? Personality and Social Psychology Bulletin, 49, 20–31.","The hypothetical moral dilemma known as the trolley problem has become a methodological cornerstone in the psychological study of moral reasoning and yet, there remains considerable debate as to the meaning of utilitarian responding in these scenarios. It is unclear whether utilitarian responding results primarily from increased deliberative reasoning capacity or from decreased aversion to harming others. In order to clarify this question, we conducted two field studies to examine the effects of alcohol intoxication on utilitarian responding. Alcohol holds promise in clarifying the above debate because it impairs both social cognition (i.e., empathy) and higher-order executive functioning. Hence, the direction of the association between alcohol and utilitarian vs. non-utilitarian responding should inform the relative importance of both deliberative and social processing systems in influencing utilitarian preference. In two field studies with a combined sample of 103 men and women recruited at two bars in Grenoble, France, participants were presented with a moral dilemma assessing their willingness to sacrifice one life to save five others. Participants’ blood alcohol concentrations were found to positively correlate with utilitarian preferences (r = .31, p < .001) suggesting a stronger role for impaired social cognition than intact deliberative reasoning in predicting utilitarian responses in the trolley dilemma. Implications for Greene’s dual-process model of moral reasoning are discussed.Elsevier",162.0,[HTML][HTML] The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas
88,drunk utilitarian,"utilitarianism, alcohol, CNI Model, trolley dilemma, moral judgmenet",Pypno Katarzyna; Paruzel-Czachura Mariola,Success,"Duke, A. A., & Bègue, L. (2015). The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas. Cognition, 134, 121–127.  cognition.2014.09.006 Study 1","Duke, A. A., & Bègue, L. (2015). The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas. Cognition, 134, 121–127.","The hypothetical moral dilemma known as the trolley problem has become a methodological cornerstone in the psychological study of moral reasoning and yet, there remains considerable debate as to the meaning of utilitarian responding in these scenarios. It is unclear whether utilitarian responding results primarily from increased deliberative reasoning capacity or from decreased aversion to harming others. In order to clarify this question, we conducted two field studies to examine the effects of alcohol intoxication on utilitarian responding. Alcohol holds promise in clarifying the above debate because it impairs both social cognition (i.e., empathy) and higher-order executive functioning. Hence, the direction of the association between alcohol and utilitarian vs. non-utilitarian responding should inform the relative importance of both deliberative and social processing systems in influencing utilitarian preference. In two field studies with a combined sample of 103 men and women recruited at two bars in Grenoble, France, participants were presented with a moral dilemma assessing their willingness to sacrifice one life to save five others. Participants’ blood alcohol concentrations were found to positively correlate with utilitarian preferences (r = .31, p < .001) suggesting a stronger role for impaired social cognition than intact deliberative reasoning in predicting utilitarian responses in the trolley dilemma. Implications for Greene’s dual-process model of moral reasoning are discussed.Elsevier",162.0,[HTML][HTML] The drunk utilitarian: Blood alcohol concentration predicts utilitarian responses in moral dilemmas
89,episodic memory decisions induce lingering mnemonic biases,"Social Science Replication Project, Science, Nature, Human Behavior",Lukas Röseler,Success,"Duncan, K., Sadanand, A., & Davachi, L. (2012). Memory’s penumbra: episodic memory decisions induce lingering mnemonic biases. Science, 337(6093), 485-487.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644.","How do we decide if the people we meet and the things we see are familiar or new? If something is new, we need to encode it as a memory distinct from already stored episodes, using a process known as pattern separation. If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. To orchestrate these conflicting processes, current models propose that the episodic memory system uses environmental cues to establish processing biases that favor either pattern separation during encoding or pattern completion during retrieval. To assess this theory, we measured how people’s memory formation and decisions are influenced by their recent engagement in episodic encoding and retrieval. We found that the recent encoding of novel objects improved subsequent identification of subtle changes, a task thought to rely on pattern separation. Conversely, recent retrieval of old objects increased the subsequent integration of stored information into new memories, a process thought to rely on pattern completion. These experiments provide behavioral evidence that episodic encoding and retrieval evoke lingering biases that influence subsequent mnemonic processing.AAAS",177,Memory's penumbra: episodic memory decisions induce lingering mnemonic biases
90,Spending money on other people leads to greater happiness than spending money on oneself (retrospective positive emotion),,"Kaiser, Leonard",Success,"Dunn, E.W., Aknin, L.B., & Norton, M.I. (2008). Spending Money on Others Promotes Happiness. Science, 319, 1687 - 1688.","Aknin, L. B., Dunn, E. W., Proulx, J., Lok, I., & Norton, M. I. (2020). Does spending money on others promote happiness?: A registered replication report. Journal of Personality and Social Psychology, 119(2), e15–e26.  Experiment 3","Although much research has examined the effect of income on happiness, we suggest that how people spend their money may be at least as important as how much money they earn. Specifically, we hypothesized that spending money on other people may have a more positive impact on happiness than spending money on oneself. Providing converging evidence for this hypothesis, we found that spending more of one's income on others predicted greater happiness both cross-sectionally (in a nationally representative survey study) and longitudinally (in a field study of windfall spending). Finally, participants who were randomly assigned to spend money on others experienced greater happiness than those assigned to spend money on themselves.AAAS",2609,Spending money on others promotes happiness
91,Spending money on other people leads to greater happiness than spending money on oneself (positive emotion),,"Kaiser, Leonard",Success,"Dunn, E.W., Aknin, L.B., & Norton, M.I. (2008). Spending Money on Others Promotes Happiness. Science, 319, 1687 - 1688.","Aknin, L. B., Dunn, E. W., Proulx, J., Lok, I., & Norton, M. I. (2020). Does spending money on others promote happiness?: A registered replication report. Journal of Personality and Social Psychology, 119(2), e15–e26.  Experiment 3","Although much research has examined the effect of income on happiness, we suggest that how people spend their money may be at least as important as how much money they earn. Specifically, we hypothesized that spending money on other people may have a more positive impact on happiness than spending money on oneself. Providing converging evidence for this hypothesis, we found that spending more of one's income on others predicted greater happiness both cross-sectionally (in a nationally representative survey study) and longitudinally (in a field study of windfall spending). Finally, participants who were randomly assigned to spend money on others experienced greater happiness than those assigned to spend money on themselves.AAAS",2609,Spending money on others promotes happiness
92,Spending money on other people leads to greater happiness than spending money on oneself (positive affect),,"Kaiser, Leonard",Success,"Dunn, E.W., Aknin, L.B., & Norton, M.I. (2008). Spending Money on Others Promotes Happiness. Science, 319, 1687 - 1688.","Aknin, L. B., Dunn, E. W., Proulx, J., Lok, I., & Norton, M. I. (2020). Does spending money on others promote happiness?: A registered replication report. Journal of Personality and Social Psychology, 119(2), e15–e26.  Experiment 3","Although much research has examined the effect of income on happiness, we suggest that how people spend their money may be at least as important as how much money they earn. Specifically, we hypothesized that spending money on other people may have a more positive impact on happiness than spending money on oneself. Providing converging evidence for this hypothesis, we found that spending more of one's income on others predicted greater happiness both cross-sectionally (in a nationally representative survey study) and longitudinally (in a field study of windfall spending). Finally, participants who were randomly assigned to spend money on others experienced greater happiness than those assigned to spend money on themselves.AAAS",2609,Spending money on others promotes happiness
93,Spending money on other people leads to greater happiness than spending money on oneself (positive emotion),,"Kaiser, Leonard",Failure,"Dunn, E.W., Aknin, L.B., & Norton, M.I. (2008). Spending Money on Others Promotes Happiness. Science, 319, 1687 - 1688.","Aknin, L. B., Dunn, E. W., Proulx, J., Lok, I., & Norton, M. I. (2020). Does spending money on others promote happiness?: A registered replication report. Journal of Personality and Social Psychology, 119(2), e15–e26.  Experiment 2","Although much research has examined the effect of income on happiness, we suggest that how people spend their money may be at least as important as how much money they earn. Specifically, we hypothesized that spending money on other people may have a more positive impact on happiness than spending money on oneself. Providing converging evidence for this hypothesis, we found that spending more of one's income on others predicted greater happiness both cross-sectionally (in a nationally representative survey study) and longitudinally (in a field study of windfall spending). Finally, participants who were randomly assigned to spend money on others experienced greater happiness than those assigned to spend money on themselves.AAAS",2609,Spending money on others promotes happiness
94,Spending money on other people leads to greater happiness than spending money on oneself (positive affect),,"Kaiser, Leonard",Failure,"Dunn, E.W., Aknin, L.B., & Norton, M.I. (2008). Spending Money on Others Promotes Happiness. Science, 319, 1687 - 1688.","Aknin, L. B., Dunn, E. W., Proulx, J., Lok, I., & Norton, M. I. (2020). Does spending money on others promote happiness?: A registered replication report. Journal of Personality and Social Psychology, 119(2), e15–e26.  Experiment 2","Although much research has examined the effect of income on happiness, we suggest that how people spend their money may be at least as important as how much money they earn. Specifically, we hypothesized that spending money on other people may have a more positive impact on happiness than spending money on oneself. Providing converging evidence for this hypothesis, we found that spending more of one's income on others predicted greater happiness both cross-sectionally (in a nationally representative survey study) and longitudinally (in a field study of windfall spending). Finally, participants who were randomly assigned to spend money on others experienced greater happiness than those assigned to spend money on themselves.AAAS",2609,Spending money on others promotes happiness
95,Spending money on other people leads to greater happiness than spending money on oneself (positive emotion),,"Kaiser, Leonard",Success,"Dunn, E.W., Aknin, L.B., & Norton, M.I. (2008). Spending Money on Others Promotes Happiness. Science, 319, 1687 - 1688.","Aknin, L. B., Dunn, E. W., Proulx, J., Lok, I., & Norton, M. I. (2020). Does spending money on others promote happiness?: A registered replication report. Journal of Personality and Social Psychology, 119(2), e15–e26.  Experiment 1","Although much research has examined the effect of income on happiness, we suggest that how people spend their money may be at least as important as how much money they earn. Specifically, we hypothesized that spending money on other people may have a more positive impact on happiness than spending money on oneself. Providing converging evidence for this hypothesis, we found that spending more of one's income on others predicted greater happiness both cross-sectionally (in a nationally representative survey study) and longitudinally (in a field study of windfall spending). Finally, participants who were randomly assigned to spend money on others experienced greater happiness than those assigned to spend money on themselves.AAAS",2609,Spending money on others promotes happiness
96,Spending money on other people leads to greater happiness than spending money on oneself (positive affect),,"Kaiser, Leonard",Success,"Dunn, E.W., Aknin, L.B., & Norton, M.I. (2008). Spending Money on Others Promotes Happiness. Science, 319, 1687 - 1688.","Aknin, L. B., Dunn, E. W., Proulx, J., Lok, I., & Norton, M. I. (2020). Does spending money on others promote happiness?: A registered replication report. Journal of Personality and Social Psychology, 119(2), e15–e26.  Experiment 1","Although much research has examined the effect of income on happiness, we suggest that how people spend their money may be at least as important as how much money they earn. Specifically, we hypothesized that spending money on other people may have a more positive impact on happiness than spending money on oneself. Providing converging evidence for this hypothesis, we found that spending more of one's income on others predicted greater happiness both cross-sectionally (in a nationally representative survey study) and longitudinally (in a field study of windfall spending). Finally, participants who were randomly assigned to spend money on others experienced greater happiness than those assigned to spend money on themselves.AAAS",2609,Spending money on others promotes happiness
97,"In times of greater economic scarcity, the preference for giving resources to girls (vs. boys) will be moderated by individual differences in risk aversion with greater differences between economic conditions in resource allocation to girls (vs boys) for participants with higher levels of trait risk aversion.","parental decision making, family spending, economic recessions, evolutionary psychology","Kaiser, Leonard",Success,"Durante, K. M., Griskevicius, V., Redden, J. P., & Edward White, A. (2015). Spending on daughters versus sons in economic recessions. Journal of Consumer Research, 42(3), 435-457. Study 4","O’Donnell, M., Dev, A. S., Antonoplis, S., Baum, S. M., Benedetti, A. H., Brown, N. D., Carrillo, B., Choi, A. L., Connor, P., Donnelly, K., Ellwood-Lowe, M. E., Foushee, R., Jansen, R., Jarvis, S. N., Lundell-Creagh, R., Ocampo, J. M., Okafor, G. N., Azad, Z. R., Rosenblum, M., … Nelson, L. D. (2021). Empirical audit and review and an assessment of evidentiary value in research on the psychological consequences of scarcity. Proceedings of the National Academy of Sciences, 118(44), e2103313118."," Although parents often try not to favor one child, we examine whether specific environmental factors might bias parents to favor children of one sex over the other. This research draws on theory in evolutionary biology suggesting that investment in female versus male offspring depends on resource availability. Applying this to consumers, a series of experiments show that poor economic conditions favor resource allocations to daughters over sons. For example, poor conditions led people to bequeath more assets to girls in their will, and to choose girls to receive a US Treasury bond and a beneficial extracurricular activity. It is proposed that this happens because spending on children represents a reproductive investment, and that boys’ and girls’ relative reproductive value varies with economic conditions. Supporting this account, perceptions of which child will have more children statistically mediates the effect of economic conditions on preferences for girls. Consequently, the effect is strengthened as a child approaches reproductive age, and it is moderated by individual differences (risk aversion and monogamy) directly related to our theoretical model. This research contributes to the consumer behavior literature by revealing how, why, and when environmental factors influence spending on girls versus boys.Oxford University Press",83.0,Spending on daughters versus sons in economic recessions
98,Ambivalence gives pause to the powerful,,LR,Failure,"Durso, G. R., Briñol, P., & Petty, R. E. (2016). From power to inaction: Ambivalence gives pause to the powerful. Psychological Science, 27(12), 1660-1666.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240.","Research has shown that people who feel powerful are more likely to act than those who feel powerless, whereas people who feel ambivalent are less likely to act than those whose reactions are univalent (entirely positive or entirely negative). But what happens when powerful people also are ambivalent? On the basis of the self-validation theory of judgment, we hypothesized that power and ambivalence would interact to predict individuals’ action. Because power can validate individuals’ reactions, we reasoned that feeling powerful strengthens whatever reactions people have during a decision. It can strengthen univalent reactions and increase action orientation, as shown in past research. Among people who hold an ambivalent judgment, however, those who feel powerful would be less action oriented than those who feel powerless. Two experiments provide evidence for this hypothesized interactive effect of power and ambivalence on individuals’ action tendencies during both positive decisions (promoting an employee; Experiment 1) and negative decisions (firing an employee; Experiment 2). In summary, when individuals’ reactions are ambivalent, power increases the likelihood of inaction.Sage Journals",56.0,From power to inaction: Ambivalence gives pause to the powerful
99,Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?,"Adult, Choice Behavior, Empathy, Female, Humans, Love, Male, Marriage [psychology], Questionnaires, Sexual Behavior [psychology]",Selterman,OS not significant,"Eastwick, P. W., & Finkel, E. J. (2008). Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?. Journal Of Personality And Social Psychology, 94(2), 245-264.","Selterman, D. F., Chagnon, E., & Mackinnon, S. P. (2023, September 28). Replication of Eastwick & Finkel (2008, JPSP). Retrieved from osf.io/ng6cc","In paradigms in which participants state their ideal romantic-partner preferences or examine vignettes and photographs, men value physical attractiveness more than women do, and women value earning prospects more than men do. Yet it remains unclear if these preferences remain sex differentiated in predicting desire for real-life potential partners (ie, individuals whom one has actually met). In the present study, the authors explored this possibility using speed dating and longitudinal follow-up procedures. Replicating previous research, participants exhibited traditional sex differences when stating the importance of physical attractiveness and earning prospects in an ideal partner and ideal speed date. However, data revealed no sex differences in the associations between participants’ romantic interest in real-life potential partners (met during and outside of speed dating) and the attractiveness and earning prospects of those partners. Furthermore, participants’ ideal preferences, assessed before the speed-dating event, failed to predict what inspired their actual desire at the event. Results are discussed within the context of RE Nisbett and TD Wilson’s (1977) seminal article: Even regarding such a consequential aspect of mental life as romantic-partner preferences, people may lack introspective awareness of what influences their judgments and behavior.American Psychological Association",755.0,[HTML][HTML] Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?
100,Nonconscious goal pursuit in novel environments: The case of implicit learning.,"Achievement, Awareness, Cues, Goals, Humans, Mental Recall, Motivation, Orientation, Pattern Recognition, Visual, Problem Solving, Reaction Time, Serial Learning, Social Environment, Unconscious (Psychology), Verbal Learning",Prenoveau,Failure,"Eitam, B., Hassin, R. R., & Schul, Y. (2008). Nonconscious goal pursuit in novel environments: The case of implicit learning. Psychological Science, 19, 261-267.","Prenoveau, J. M., & Kirkhart, M. W. (2023, September 28). Replication of Eitam, Hassin, & Schul (2008, PS, Study 2). Retrieved from osf.io/edcr7","Is nonconscious goal pursuit useful in novel environments? The prevalent view of automaticity and control implies that an unconscious mode of goal pursuit can only reproduce formerly learned actions, and therefore that its usefulness in novel environments is very limited. Our results demonstrate that this conclusion is not always warranted, as nonconscious goal pursuit facilitated participants' learning of the structure of completely novel environments. Specifically, two experiments, using markedly different implicit-learning paradigms, demonstrated facilitation of implicit learning when the goal of achievement was primed. We propose that nonconscious goal pursuit can facilitate not only reproductive operations, but also productive ones, and that implicit learning is sensitive to the organism's nonconscious goals.Sage Journals",133,Nonconscious goal pursuit in novel environments: The case of implicit learning
101,"Visual product depictions within advertisements, such as the manipulation of orienting a product toward a participant’s dominant hand, facilitate purchase intention; Mental simulation",Sensory Marketing,"Kaiser, Leonard",Failure,"Elder, R. S., and Krishna, A. (2011). The “visual depiction effect” in advertising: facilitating. embodied mental simulation through product orientation. J. Consum. Res. 38, 988–1003. doi:  Study 4","Motoki, K., & Iseki, S. (2022). Evaluating replicability of ten influential research on sensory marketing. Frontiers in Communication, 7, 1048896."," This research demonstrates that visual product depictions within advertisements, such as the subtle manipulation of orienting a product toward a participant’s dominant hand, facilitate mental simulation that evokes motor responses. We propose that viewing an object can lead to similar behavioral consequences as interacting with the object since our minds mentally simulate the experience. Four studies show that visually depicting a product that facilitates more (vs. less) embodied mental simulation results in heightened purchase intentions. The studies support our proposed embodied mental simulation account. For instance, occupying the perceptual resources required for embodied mental simulation attenuates the impact of visual product depiction on purchase intentions. For negatively valenced products, facilitation of embodied mental simulation decreases purchase intentions.Oxford University Press",538.0,The “visual depiction effect” in advertising: Facilitating embodied mental simulation through product orientation
