ref_original,abstract,cited_by_count,gs_title
"Kacperczyk, O., & Younkin, P. (2022). A founding penalty: evidence from an audit study on gender, entrepreneurship, and future employment. Organization Science, 33(2), 716-745.","There is both widespread interest in encouraging entrepreneurship and universal recognition that the vast majority of these founders will fail, which raises an important unanswered question: What happens to ex-founders when they apply for jobs? Whereas existing research has identified many factors that facilitate movement out of an established organization and into entrepreneurship, far less attention has been devoted to understanding what transpires during the return journey—most notably, how employers evaluate entrepreneurial experience at the point of hire. We propose that employers penalize job candidates with a history of founding a new venture because they believe them to be worse fits and less committed employees than comparable candidates without founding experience. We further predict that the discount for having been an entrepreneur will diminish when other stereotypes about the candidate, particularly those based on gender, will contradict the negative beliefs about ex-founders. We test our proposition using a résumé-based audit and an experimental survey. The audit reveals that founding significantly reduces the likelihood that an employer interviews a male candidate, but there is no comparable penalty for female ex-founders. The experimental survey confirms the gendered nature of the founding penalty and provides evidence that it results from employers’ concerns that founders are less committed and worse organizational fits than nonfounders. Critically, the survey also indicates that these concerns are mitigated for women, helping to explain why they suffer no equivalent founding penalty.INFORMS",50,"A founding penalty: Evidence from an audit study on gender, entrepreneurship, and future employment"
"Mussweiler, T., & Englich, B. (2005). Subliminal anchoring: Judgmental consequences and underlying mechanisms. Organizational Behavior and Human Decision Processes, 98(2), 133-143. Study 2",,269,[HTML][HTML] Subliminal anchoring: Judgmental consequences and underlying mechanisms
"Freeman, J., & Simoncelli, E. P. (2011). Metamers of the ventral stream. Nature neuroscience, 14(9), 1195-1201.","The human capacity to recognize complex visual patterns emerges in a sequence of brain areas known as the ventral stream, beginning with primary visual cortex (V1). We developed a population model for mid-ventral processing, in which nonlinear combinations of V1 responses are averaged in receptive fields that grow with eccentricity. To test the model, we generated novel forms of visual metamers, stimuli that differ physically but look the same. We developed a behavioral protocol that uses metameric stimuli to estimate the receptive field sizes in which the model features are represented. Because receptive field sizes change along the ventral stream, our behavioral results can identify the visual area corresponding to the representation. Measurements in human observers implicate visual area V2, providing a new functional account of neurons in this area. The model also explains deficits of peripheral vision known as crowding, and provides a quantitative framework for assessing the capabilities and limitations of everyday vision.nature.com",801,Metamers of the ventral stream
"Granow, V. C., Reinecke, L., & Ziegele, M. (2018). Binge-Watching and Psychological Well-Being: Media Use Between Lack of Control and Perceived Autonomy. Communication Research Reports, 35(5), 392–401.","Binge-watching—the intensive, consecutive viewing of televised series—has become a prevalent usage pattern of entertainment media, which may influence users’ psychological well-being both positively and negatively: On the one hand, binge-watching could increase viewers’ enjoyment, recovery experiences, and vitality through an increase in perceived autonomy. On the other hand, binge-watching can trigger goal conflicts and feelings of guilt, which may reduce well-being. Drawing on an online survey (N = 499), the present study examines the tension between these two mechanisms and their effects on users’ well-being. The data largely support the hypotheses: Binge-watching is perceived as recreational as long as goal conflicts and feelings of guilt can be avoided. Well-being, on the other hand, is positively affected by binge-watching-induced increases in perceived autonomy. These results corroborate the central role of self-determination as a link between media reception, media enjoyment, and psychological well-being.Taylor & Francis Online",171,Binge-watching and psychological well-being: Media use between lack of control and perceived autonomy
"Proudfoot, D., Kay, A. C., & Koval, C. Z. (2015). A gender bias in the attribution of creativity: Archival and experimental evidence for the perceived association between masculinity and creative thinking. Psychological science, 26(11), 1751-1761.","We propose that the propensity to think creatively tends to be associated with independence and self-direction—qualities generally ascribed to men—so that men are often perceived to be more creative than women. In two experiments, we found that “outside the box” creativity is more strongly associated with stereotypically masculine characteristics (e.g., daring and self-reliance) than with stereotypically feminine characteristics (e.g., cooperativeness and supportiveness; Study 1) and that a man is ascribed more creativity than a woman when they produce identical output (Study 2). Analyzing archival data, we found that men’s ideas are evaluated as more ingenious than women’s ideas (Study 3) and that female executives are stereotyped as less innovative than their male counterparts when evaluated by their supervisors (Study 4). Finally, we observed that stereotypically masculine behavior enhances a man’s perceived creativity, whereas identical behavior does not enhance a woman’s perceived creativity (Study 5). This boost in men’s perceived creativity is mediated by attributions of agency, not competence, and predicts perceptions of reward deservingness.Sage Journals",283,A gender bias in the attribution of creativity: Archival and experimental evidence for the perceived association between masculinity and creative thinking
"Gneezy, U., Keenan, E. A., & Gneezy, A. (2014). Avoiding overhead aversion in charity. Science, 346(6209), 632-635.","Donors tend to avoid charities that dedicate a high percentage of expenses to administrative and fundraising costs, limiting the ability of nonprofits to be effective. We propose a solution to this problem: Use donations from major philanthropists to cover overhead expenses and offer potential donors an overhead-free donation opportunity. A laboratory experiment testing this solution confirms that donations decrease when overhead increases, but only when donors pay for overhead themselves. In a field experiment with 40,000 potential donors, we compared the overhead-free solution with other common uses of initial donations. Consistent with prior research, informing donors that seed money has already been raised increases donations, as does a $1:$1 matching campaign. Our main result, however, clearly shows that informing potential donors that overhead costs are covered by an initial donation significantly increases the donation rate by 80% (or 94%) and total donations by 75% (or 89%) compared with the seed (or matching) approach.AAAS",430,Avoiding overhead aversion in charity
"Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","The Affective Expectation Model (AEM; Wilson, T. D., Lisle, D. J., Kraft, D., & Wetzel, C. G. (1989). Journal of Personality and Social Psychology, 56, 519-530) proposes that expectations can generate both assimilation and contrast effects in affective experience. Specifically, when an experience is inconsistent with an affective expectation, and that discrepancy is noticed, the model predicts that affective reactions will be contrasted with the expectation. When the discrepancy is not noticed, it is anticipated that affective reactions will be assimilated toward the expectation. These studies examine the possibility that such assimilation and contrast effects in affective experience are moderated by individual differences in need for cognition. In two experiments, individuals varying in their level of need for cognition were asked to watch one of the two relatively unfunny film clips. We predicted that, when given a positive expectation for the film clip, individuals high in need for cognition would detect the discrepancy and contrast their affective reactions. Conversely, it was predicted that, in this same situation, individuals low in need for cognition would overlook the discrepancy and assimilate their affective reactions to the positive expectation. The results of both experiments supported these predictions and supplied further evidence for the AEM. Theoretical and practical implications of these results are discussed. Taylor & Francis Online",32,Need for cognition and expectations as determinants of affective experience
"Dale, R., & Duran, N. D. (2011). The cognitive dynamics of negated sentence verification. Cognitive science, 35(5), 983-996."," We explored the influence of negation on cognitive dynamics, measured using mouse‐movement trajectories, to test the classic notion that negation acts as an operator on linguistic processing. In three experiments, participants verified the truth or falsity of simple statements, and we tracked the computer‐mouse trajectories of their responses. Sentences expressing these facts sometimes contained a negation. Such negated statements could be true (e.g., “elephants are not small”) or false (e.g., “elephants are not large”). In the first experiment, as predicted by the classic notion of negation, we found that negation caused more discreteness in the mouse trajectory of a response. The second experiment induced a simple context for these statements, yet negation still increased discreteness in trajectories. A third experiment enhanced the pragmatic context of sentences, and the discreteness was substantially diminished, with one primary measure no longer significantly showing increased discreteness at all. Traditional linguistic theories predict rapid shifts in cognitive dynamics occur due to the nature of negation: It is an operator that reverses the truth or falsity of an interpretation. We argue that these results support both propositional and contextual accounts of negation present in the literature, suggesting that contextual factors are crucial for determining the kind of cognitive dynamics displayed. We conclude by drawing broader lessons about theories of cognition from the case of negation.Wiley Online Library",219,The cognitive dynamics of negated sentence verification
"Cohen, M. A., Alvarez, G. A., & Nakayama, K. (2011). Natural-scene perception requires attention. Psychological science, 22(9), 1165-1172.","Is visual attention required for visual consciousness? In the past decade, many researchers have claimed that awareness can arise in the absence of attention. This claim is largely based on the notion that natural scene (or “gist”) perception occurs without attention. This article presents evidence against this idea. We show that when observers perform a variety of demanding, sustained-attention tasks, inattentional blindness occurs for natural scenes. In addition, scene perception is impaired under dual-task conditions, but only when the primary task is sufficiently demanding. This finding suggests that previous studies that have been interpreted as demonstrating scene perception without attention failed to fully engage attention and that natural-scene perception does indeed require attention. Thus, natural-scene perception is not a preattentive process and cannot be used to support the idea of awareness without attention.Sage Journals",248,Natural-scene perception requires attention
"Payne, B. K. Burkley, M. A. Stokes, M. B. (2008). Why Do Implicit and Explicit Attitude Tests Diverge? The Role of Structural Fit. Journal of Personality and Social Psychology, 94, 16–31.","Implicit and explicit attitude tests are often weakly correlated, leading some theorists to conclude that implicit and explicit cognition are independent. Popular implicit and explicit tests, however, differ in many ways beyond implicit and explicit cognition. The authors examined in 4 studies whether correlations between implicit and explicit tests were influenced by the similarity in task demands (ie, structural fit) and, hence, the processes engaged by each test. Using an affect misattribution procedure, they systematically varied the structural fit of implicit and explicit tests of racial attitudes. As test formats became more similar, the implicit-explicit correlation increased until it became higher than in most previous research. When tests differ in structure, they may underestimate the relationship between implicit and explicit cognition. The authors propose a solution that uses procedures to maximize structural fit.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",584,Why do implicit and explicit attitude tests diverge? The role of structural fit.
"White, P.A. (2008). Accounting for Occurrences: A New View of the Use of Contingency Information in Causal Judgment. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 204–218.","When people make causal judgments from contingency information, a principal aim is to account for occurrences of the outcome. When 2 causes are under consideration, the capacity of either to account for occurrences is judged from how likely the cause is to be present when the outcome occurs and from the rate at which the outcome occurs when that cause alone is present, which gives an estimate of the strength of the cause. These propositions are formalized in a weighted averaging model, which successfully predicted several judgmental phenomena not predicted by other models of causal judgment. These include a tendency for judgment of one cause (A) to be reduced as the number of occurrences of when only the other one (B) increases and a tendency for A to receive higher judgments than B if A is better able to account for occurrences than B is even if B has a higher contingency with the outcome than A does. Overshadowing, a tendency for judgments of B to be depressed if A has a higher contingency, is weak or absent when B is better able to account for occurrences than A. Results of several experiments support these and related predictions derived from the accounting for occurrences hypothesis.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",20,Accounting for occurrences: A new view of the use of contingency information in causal judgment.
"Fischer, P., Greitemeyer, T., & Frey, D. (2008). Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing. Journal of Personality and Social Psychology, 94(3), 382-395.","In the present research, the authors investigated the impact of self-regulation resources on confirmatory information processing, that is, the tendency of individuals to systematically prefer standpoint-consistent information to standpoint-inconsistent information in information evaluation and search. In 4 studies with political and economic decision-making scenarios, it was consistently found that individuals with depleted self-regulation resources exhibited a stronger tendency for confirmatory information processing than did individuals with nondepleted self-regulation resources. Alternative explanations based on processes of ego threat, cognitive load, and mood were ruled out. Mediational analyses suggested that individuals with depleted self-regulation resources experienced increased levels of commitment to their own standpoint, which resulted in increased confirmatory information processing. In sum, the impact of ego depletion on confirmatory information search seems to be more motivational than cognitive in nature.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",284,Self-regulation and selective exposure: the impact of depleted self-regulation resources on confirmatory information processing.
"Van Koningsbruggen, G. M., Hartmann, T., Eden, A., & Veling, H. (2017). Spontaneous hedonic reactions to social media cues. Cyberpsychology, Behavior, and Social Networking, 20(5), 334-340."," Why is it so difficult to resist the desire to use social media? One possibility is that frequent social media users possess strong and spontaneous hedonic reactions to social media cues, which, in turn, makes it difficult to resist social media temptations. In two studies (total N = 200), we investigated less-frequent and frequent social media users' spontaneous hedonic reactions to social media cues using the Affect Misattribution Procedure–an implicit measure of affective reactions. Results demonstrated that frequent social media users showed more favorable affective reactions in response to social media (vs. control) cues, whereas less-frequent social media users' affective reactions did not differ between social media and control cues (Studies 1 and 2). Moreover, the spontaneous hedonic reactions to social media (vs. control) cues were related to self-reported cravings to use social media and partially accounted for the link between social media use and social media cravings (Study 2). These findings suggest that frequent social media users' spontaneous hedonic reactions in response to social media cues might contribute to their difficulties in resisting desires to use social media.Mary Ann Liebert",93,Spontaneous hedonic reactions to social media cues
"Cian, L., Longoni, C., & Krishna, A. (2020). Advertising a Desired Change: When Process Simulation Fosters (vs. Hinders) Credibility and Persuasion. Journal of Marketing Research, 57(3), 489-508.  Study 2","Ads promising a desired change are ubiquitous in the marketplace. These ads typically include visuals of the starting and ending point of the promised change (“before/after” ads). “Progression” ads, which include intermediate steps in addition to starting and ending points, are much rarer in the marketplace. Across several consumer domains, the authors show an ad-type effect: progression ads foster spontaneous simulation of the process through which the change will happen, which makes these ads more credible and, in turn, more persuasive than before/after ads (Studies 1–3). The authors also show that impairing process simulation and high skepticism moderate the ad-type effect (Studies 4–5). Finally, they show effect reversals: if consumers focus on achieving the desired results quickly, and it is possible to do so, progression ads and the associated process simulation backfire in terms of credibility and persuasion (Studies 6–7). These findings contribute to existing research by identifying conditions under which progression ads have beneficial or disadvantageous effects. These findings have managerial implications because they run counter to current marketing practices, which favor before/after over progression ads.Sage Journals",62,Advertising a desired change: When process simulation fosters (vs. hinders) credibility and persuasion
"Kidd, D. C., & Castano, E. (2013). Reading literary fiction improves theory of mind. Science, 342(6156), 377-380.","Understanding others’ mental states is a crucial skill that enables the complex social relationships that characterize human societies. Yet little research has investigated what fosters this skill, which is known as Theory of Mind (ToM), in adults. We present five experiments showing that reading literary fiction led to better performance on tests of affective ToM (experiments 1 to 5) and cognitive ToM (experiments 4 and 5) compared with reading nonfiction (experiments 1), popular fiction (experiments 2 to 5), or nothing at all (experiments 2 and 5). Specifically, these results show that reading literary fiction temporarily enhances ToM. More broadly, they suggest that ToM may be influenced by engagement with works of art.AAAS",2530,Reading literary fiction improves theory of mind
"Liverence, B. M., & Scholl, B. J. (2015). Object persistence enhances spatial navigation: A case study in smartphone vision science. Psychological Science, 26(7), 955-963.","Violations of spatiotemporal continuity disrupt performance in many tasks involving attention and working memory, but experiments on this topic have been limited to the study of moment-by-moment on-line perception, typically assessed by passive monitoring tasks. We tested whether persisting object representations also serve as underlying units of longer-term memory and active spatial navigation, using a novel paradigm inspired by the visual interfaces common to many smartphones. Participants used key presses to navigate through simple visual environments consisting of grids of icons (depicting real-world objects), only one of which was visible at a time through a static virtual window. Participants found target icons faster when navigation involved persistence cues (via sliding animations) than when persistence was disrupted (e.g., via temporally matched fading animations), with all transitions inspired by smartphone interfaces. Moreover, this difference occurred even after explicit memorization of the relevant information, which demonstrates that object persistence enhances spatial navigation in an automatic and irresistible fashion.Sage Journals",15,Object persistence enhances spatial navigation: A case study in smartphone vision science
"Albarracín, D., Handley, I.M., Noguchi, K., McCulloch, K.C., Li, H., Leeper, J., Brown, R.D., Earl, A., & Hart, W.P. (2008). Increasing and decreasing motor and cognitive output: A model of general action and inaction goals. Journal of Personality and Social Psychology, 95(3), 510-523.","General action and inaction goals can influence the amount of motor or cognitive output irrespective of the type of behavior in question, with the same stimuli producing trivial and important motor and cognitive manifestations normally viewed as parts of different systems. A series of experiments examined the effects of instilling general action and inaction goals using word primes, such as “action” and “rest.” The first 5 experiments showed that the same stimuli influenced motor output, such as doodling on a piece of paper and eating, as well as cognitive output, such as recall and problem solving. The last 2 experiments supported the prediction that these diverse effects can result from the instigation of general action and inaction goals. Specifically, these last 2 studies confirmed that participants were motivated to achieve active or inactive states and that attaining them decreased the effects of the primes on behavior.American Psychological Association",141,[HTML][HTML] Increasing and decreasing motor and cognitive output: a model of general action and inaction goals.
"Dodson, C.S., Darragh, J., & Williams, A. (2008). Stereotypes and retrieval-provoked illusory source recollections. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 460-477.","When expectations and stereotypes are activated at retrieval, they spontaneously create distorted and illusory recollections that are consistent with these expectations. Participants studied doctor (physician)-related and lawyer-related statements that were presented by 2 different people. When informed, on a subsequent source memory test,(ie, of who presented what) that one of the study sources was actually a doctor and the other source was a lawyer, there was a strong tendency to attribute the test items in a stereotype-consistent manner. In 3 experiments, participants frequently reported recollecting specific details, such as via"" remember"" judgments, to justify their stereotype-consistent but incorrect responses. These experiments rule out explanations involving either the misattribution of strong familiarity or differences in the bias to making remember responses as accounts for the illusory source attributions. Instead, the illusory recollections are consistent with the notion that recollective experience is manufactured from both the information in the memory trace and information in the retrieval environment, such as an individual's expectations, stereotypes, and general knowledge.(PsycINFO Database Record (c) 2016 APA, all rights reserved)American Psychological Association",47,Stereotypes and retrieval-provoked illusory source recollections.
"Nichols, S. (2004). After objectivity: An empirical study of moral judgment. Philosophical Psychology, 17(1), 3-26. Chicago.","This paper develops an empirical argument that the rejection of moral objectivity leaves important features of moral judgment intact. In each of five reported experiments, a number of participants endorsed a nonobjectivist claim about a canonical moral violation. In four of these experiments, participants were also given a standard measure of moral judgment, the moral/conventional task. In all four studies, participants who respond as nonobjectivists about canonical moral violations still treat such violations in typical ways on the moral/conventional task. In particular, participants who give moral nonobjectivist responses still draw a clear distinction between canonical moral and conventional violations. Thus there is some reason to think that many of the central characteristics of moral judgment are preserved in the absence of a commitment to moral objectivity.Taylor & Francis Online",200,After objectivity: An empirical study of moral judgment
"Perez, M., Jaundoo, R., Hilton, K., Del Alamo, A., Gemayel, K., Klimas, N. G., ... & Nathanson, L. (2019). Genetic predisposition for immune system, hormone, and metabolic dysfunction in myalgic encephalomyelitis/chronic fatigue syndrome: a pilot study. Frontiers in Pediatrics, 7, 423831.","Introduction: Myalgic Encephalomyelitis/ Chronic Fatigue Syndrome (ME/CFS) is a multifactorial illness of unknown etiology with considerable social and economic impact. To investigate a putative genetic predisposition to ME/CFS we conducted genome-wide single-nucleotide polymorphism (SNP) analysis to identify possible variants. Methods: 383 ME/CFS participants underwent DNA testing using the commercial company 23andMe. The deidentified genetic data was then filtered to include only non-synonymous and nonsense SNPs from exons and microRNAs, and SNPs close to splice sites. The frequencies of each SNP were calculated within our cohort and compared to frequencies from the Kaviar reference database. Functional annotation of pathway sets containing SNP genes with high frequency in ME/CFS was performed using over-representation analysis via ConsensusPathDB. Furthermore, these SNPs were also scored using the Combined Annotation Dependent Depletion (CADD) algorithm to gauge their deleteriousness. Results: 5693 SNPs were found to have at least 10% frequency in at least one cohort (ME/CFS or reference) and at least two-fold absolute difference for ME/CFS. Functional analysis identified the majority of SNPs as related to immune system, hormone, metabolic, and extracellular matrix organization. CADD scoring identified 517 SNPs in these pathways that are among the 10% most deleteriousness substitutions to the human genome.Frontiers",36,"Genetic predisposition for immune system, hormone, and metabolic dysfunction in myalgic encephalomyelitis/chronic fatigue syndrome: a pilot study"
"Maddux, W. W., Galinsky, A. D., Cuddy, A. J., & Polifroni, M. (2008). When being a model minority is good... and bad: Realistic threat explains negativity toward Asian Americans. Personality and Social Psychology Bulletin, 34(1), 74-89.","The current research explores the hypothesis that realistic threat is one psychological mechanism that can explain how individuals can hold positive stereotypical beliefs toward Asian Americans yet also express negative attitudes and emotions toward them. Study 1 demonstrates that in a realistic threat context, attitudes and emotions toward an anonymous group described by only positive, “model minority” attributes are significantly more negative than when the group was described using other positive attributes. Study 2 demonstrates that realistic threat significantly mediates the relationship between (a) the endorsement of the both the positive and negative stereotypes of Asian Americans and (b) subsequent negative attitudes and emotions toward them. Studies 3 and 4 conceptually replicate this effect in experimental situations involving interactions with Asian Americans in realistic threat contexts. Implications for understanding the nature of stereotyping and prejudice toward Asian Americans and other minority groups are discussed.Sage Journals",315,When being a model minority is good... and bad: Realistic threat explains negativity toward Asian Americans
"Durante, K. M., Griskevicius, V., Redden, J. P., & Edward White, A. (2015). Spending on daughters versus sons in economic recessions. Journal of Consumer Research, 42(3), 435-457. Study 4"," Although parents often try not to favor one child, we examine whether specific environmental factors might bias parents to favor children of one sex over the other. This research draws on theory in evolutionary biology suggesting that investment in female versus male offspring depends on resource availability. Applying this to consumers, a series of experiments show that poor economic conditions favor resource allocations to daughters over sons. For example, poor conditions led people to bequeath more assets to girls in their will, and to choose girls to receive a US Treasury bond and a beneficial extracurricular activity. It is proposed that this happens because spending on children represents a reproductive investment, and that boys’ and girls’ relative reproductive value varies with economic conditions. Supporting this account, perceptions of which child will have more children statistically mediates the effect of economic conditions on preferences for girls. Consequently, the effect is strengthened as a child approaches reproductive age, and it is moderated by individual differences (risk aversion and monogamy) directly related to our theoretical model. This research contributes to the consumer behavior literature by revealing how, why, and when environmental factors influence spending on girls versus boys.Oxford University Press",83,Spending on daughters versus sons in economic recessions
"Gong, X., Zhang, F., & Fung, H. H. (2019). Are older adults more willing to donate? The roles of donation form and social relationship. The Journals of Gerontology: Series B, 74(3), 440-448."," Objectives Whether older adults are more prosocial than younger adults has been under debate. In the current study, we investigated how age differences in prosocial behaviors varied across different contextual factors, that is, donation form, kinship, and social distance. Methods To achieve this purpose, 89 younger and 66 older adults took part in a hypothetical donation task in which they were asked to donate money and time to relatives and nonrelatives at various social distances. Results The results showed that, compared to younger adults, (a) older adults donated less to nonrelatives (regardless of the donation form), but donated a similar amount (in money) or even donated more (in time) to relatives; (b) older adults displayed higher levels of kin selection (favoring relatives over nonrelatives) in both monetary and time donations; and (c) older adults showed higher levels of social discounting (favoring socially close over distant others) in monetary but not time donation. Discussion The study underscored the importance of contextual factors in understanding age differences in prosocial behaviors such as donation. Oxford University Press",34,Are older adults more willing to donate? The roles of donation form and social relationship
"Larsen, J.T., & McKibban, A.R. (2008). Is happiness having what you want, wanting what you have, or both? Psychological Science, 19, 371-377.","Rabbi Hyman Schachtel (1954) proposed that “happiness is not having what you want, but wanting what you have” (p. 37). In two studies, we tested Schachtel's maxim by asking participants whether or not they had and the extent to which they wanted each of 52 material items. To quantify how much people wanted what they had, we identified what they had and the extent to which they wanted those things. To quantify how much people had what they wanted, we identified how much they wanted and whether or not they had each item. Both variables accounted for unique variance in happiness. Moreover, the extent to which people wanted what they had partially mediated effects of gratitude and maximization on happiness, and the extent to which they had what they wanted partially mediated the effect of maximization. Results indicate that happiness is both wanting what you have and having what you want.Sage Journals",103,"Is happiness having what you want, wanting what you have, or both?"
"Rychlowska, M., Jack, R. E., Garrod, O. G., Schyns, P. G., Martin, J. D., & Niedenthal, P. M. (2017). Functional smiles: Tools for love, sympathy, and war. Psychological science, 28(9), 1259-1270.","A smile is the most frequent facial expression, but not all smiles are equal. A social-functional account holds that smiles of reward, affiliation, and dominance serve basic social functions, including rewarding behavior, bonding socially, and negotiating hierarchy. Here, we characterize the facial-expression patterns associated with these three types of smiles. Specifically, we modeled the facial expressions using a data-driven approach and showed that reward smiles are symmetrical and accompanied by eyebrow raising, affiliative smiles involve lip pressing, and dominance smiles are asymmetrical and contain nose wrinkling and upper-lip raising. A Bayesian-classifier analysis and a detection task revealed that the three smile types are highly distinct. Finally, social judgments made by a separate participant group showed that the different smile types convey different social messages. Our results provide the first detailed description of the physical form and social messages conveyed by these three types of functional smiles and document the versatility of these facial expressions.Sage Journals",234,"Functional smiles: Tools for love, sympathy, and war"
"Rogers, T., Zeckhauser, R., Gino, F., Norton, M. I., & Schweitzer, M. E. (2017). Artful paltering: The risks and rewards of using truthful statements to mislead others. Journal of personality and social psychology, 112(3), 456.","Paltering is the active use of truthful statements to convey a misleading impression. Across 2 pilot studies and 6 experiments, we identify paltering as a distinct form of deception. Paltering differs from lying by omission (the passive omission of relevant information) and lying by commission (the active use of false statements). Our findings reveal that paltering is common in negotiations and that many negotiators prefer to palter than to lie by commission. Paltering, however, may promote conflict fueled by self-serving interpretations; palterers focus on the veracity of their statements (“I told the truth”), whereas targets focus on the misleading impression palters convey (“I was misled”). We also find that targets perceive palters to be especially unethical when palters are used in response to direct questions as opposed to when they are unprompted. Taken together, we show that paltering is a common, but risky, negotiation tactic. Compared with negotiators who tell the truth, negotiators who palter are likely to claim additional value, but increase the likelihood of impasse and harm to their reputations.American Psychological Association",180,[HTML][HTML] Artful paltering: The risks and rewards of using truthful statements to mislead others.
"SE Palmer, T Ghose (2008). Extremal edges: a powerful cue to depth perception and figure-ground organization. Psychological Science, 19.1: 77-84.","Extremal edges (EEs) are projections of viewpoint-specific horizons of self-occlusion on smooth convex surfaces. An ecological analysis of viewpoint constraints suggests that an EE surface is likely to be closer to the observer than the non-EE surface on the other side of the edge. In two experiments, one using shading gradients and the other using texture gradients, we demonstrated that EEs operate as strong cues to relative depth perception and figure-ground organization. Image regions with an EE along the shared border were overwhelmingly perceived as closer than either flat or equally convex surfaces without an EE along that border. A further demonstration suggests that EEs are more powerful than classical figure-ground cues, including even the joint effects of small size, convexity, and surroundedness.Sage Journals",71,Extremal edge: A powerful cue to depth perception and figure-ground organization
"MJ Yap, DA Balota, CS Tse, D Besner. (2008) On the additive effects of stimulus quality and word frequency in lexical decision: evidence for opposing interactive influences revealed by RT distributional analyses. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 495-513.","The joint effects of stimulus quality and word frequency in lexical decision were examined in 4 experiments as a function of nonword type (legal nonwords, eg, BRONE, vs. pseudohomophones, eg, BRANE). When familiarity was a viable dimension for word–nonword discrimination, as when legal nonwords were used, additive effects of stimulus quality and word frequency were observed in both means and distributional characteristics of the response-time distributions. In contrast, when the utility of familiarity was undermined by using pseudohomophones, additivity was observed in the means but not in distributional characteristics. Specifically, opposing interactive effects in the underlying distribution were observed, producing apparent additivity in means. These findings are consistent with the suggestion that, when familiarity is deemphasized in lexical decision, cascaded processing between letter and word levels is in play, whereas, when familiarity is a viable dimension for word–nonword discrimination, processing is discrete.American Psychological Association",125,[HTML][HTML] On the additive effects of stimulus quality and word frequency in lexical decision: evidence for opposing interactive influences revealed by RT distributional …
"Janiszewski, C., D. Uy. 2008. Anchor precision influences the amount of adjustment. Psychological Science, 19,121–127.","The anchoring-and-adjustment heuristic has been used to account for a wide variety of numerical judgments. Five studies show that adjustment away from a numerical anchor is smaller if the anchor is precise than if it is rounded. Evidence suggests that precise anchors, compared with rounded anchors, are represented on a subjective scale with a finer resolution. If adjustment consists of a series of iterative mental movements along a subjective scale, then an adjustment from a precise anchor should result in a smaller overall correction than an adjustment from a rounded anchor.Sage Journals",226,Precision of the anchor influences the amount of adjustment
"Critcher, C. R., Inbar, Y., & Pizarro, D. A. (2013). How quick decisions illuminate moral character. Social Psychological and Personality Science, 4(3), 308-315.","It has been suggested that people attend to others’ actions in the service of forming impressions of their underlying dispositions. If so, it follows that in considering others’ morally relevant actions, social perceivers should be responsive to accompanying cues that help illuminate actors’ underlying moral character. This article examines one relevant cue that can characterize any decision process: the speed with which the decision is made. Two experiments show that actors who make an immoral decision quickly (vs. slowly) are evaluated more negatively. In contrast, actors who arrive at a moral decision quickly (vs. slowly) receive particularly positive moral character evaluations. Quick decisions carry this signal value because they are assumed to reflect certainty in the decision (Experiments 1 and 2), which in turn signals that more unambiguous motives drove the behavior (Experiment 2), which in turn explains the more polarized moral character evaluations. Implications for moral psychology and the law are discussed.Sage Journals",250,How quick decisions illuminate moral character
"Eastwick, P. W., & Finkel, E. J. (2008). Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?. Journal Of Personality And Social Psychology, 94(2), 245-264.","In paradigms in which participants state their ideal romantic-partner preferences or examine vignettes and photographs, men value physical attractiveness more than women do, and women value earning prospects more than men do. Yet it remains unclear if these preferences remain sex differentiated in predicting desire for real-life potential partners (ie, individuals whom one has actually met). In the present study, the authors explored this possibility using speed dating and longitudinal follow-up procedures. Replicating previous research, participants exhibited traditional sex differences when stating the importance of physical attractiveness and earning prospects in an ideal partner and ideal speed date. However, data revealed no sex differences in the associations between participants’ romantic interest in real-life potential partners (met during and outside of speed dating) and the attractiveness and earning prospects of those partners. Furthermore, participants’ ideal preferences, assessed before the speed-dating event, failed to predict what inspired their actual desire at the event. Results are discussed within the context of RE Nisbett and TD Wilson’s (1977) seminal article: Even regarding such a consequential aspect of mental life as romantic-partner preferences, people may lack introspective awareness of what influences their judgments and behavior.American Psychological Association",755,[HTML][HTML] Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?
